1;arms_factory;2951.00;11.20;1360.00;5.34;0
1;arms_factory;2951.00;11.20;1360.00;0.26;0
1;arms_factory;2943.00;10.00;1364.00;3.28;0
1;industrial_complex;2946.00;9.60;1356.00;5.95;0
1;industrial_complex;2946.00;9.60;1356.00;2.33;0
1;industrial_complex;2953.00;10.45;1369.00;0.17;0
1;air_base;2953.00;10.45;1369.00;1.73;0
1;supply_node;2947.00;9.75;1356.00;5.82;0
1;supply_node;2951.00;11.40;1369.00;3.58;0
1;supply_node;2945.00;11.70;1366.00;5.06;0
1;naval_base;2940.00;9.50;1368.00;-1.37;5579
1;naval_base;2954.00;9.50;1363.00;1.11;5579
1;naval_base;2940.00;9.50;1360.00;-1.57;5579
1;bunker;2949.00;12.40;1369.00;0.78;0
1;bunker;2948.00;9.88;1355.00;3.45;0
1;bunker;2945.00;11.00;1364.00;1.29;0
1;coastal_bunker;2948.00;9.50;1352.00;-1.57;0
1;coastal_bunker;2952.00;9.50;1378.00;-3.14;0
1;coastal_bunker;2941.00;9.50;1369.00;-2.60;0
1;dockyard;2949.00;9.50;1352.00;-1.57;0
1;anti_air_building;2946.00;9.60;1356.00;2.40;0
1;anti_air_building;2946.00;9.68;1357.00;3.96;0
1;synthetic_refinery;2948.00;11.88;1370.00;1.80;0
1;fuel_silo;2948.00;11.88;1370.00;3.00;0
1;synthetic_rubber_refinery;2943.00;10.73;1369.00;0.84;0
1;steel_refinery;2947.00;10.88;1361.00;2.40;0
1;radar_station;2948.00;13.38;1365.00;0.03;0
1;nuclear_reactor;2948.00;12.95;1364.00;1.45;0
1;rocket_site;2948.00;12.95;1364.00;4.47;0
1;floating_harbor;2939.00;9.50;1356.00;1.57;3838
1;floating_harbor;2961.26;9.50;1363.87;-2.03;9851
1;floating_harbor;2933.14;9.50;1363.63;-4.51;11804
2;arms_factory;3008.00;9.68;1352.00;3.28;0
2;arms_factory;3010.00;11.70;1365.00;5.95;0
2;arms_factory;3010.00;9.68;1350.00;2.33;0
2;industrial_complex;2999.00;10.55;1372.00;0.17;0
2;industrial_complex;3021.00;10.98;1354.00;1.73;0
2;industrial_complex;3008.00;11.95;1369.00;4.39;0
2;air_base;3012.00;11.53;1359.00;0.78;0
2;supply_node;3020.00;10.53;1352.00;5.06;0
2;supply_node;2992.00;9.90;1369.00;1.71;0
2;supply_node;3003.00;10.45;1370.00;4.30;0
2;supply_node;3004.00;9.88;1358.00;0.95;0
2;supply_node;2997.00;9.70;1362.00;3.88;0
2;supply_node;3012.00;10.15;1352.00;0.18;0
2;supply_node;3015.00;12.55;1362.00;3.12;0
2;naval_base;2986.00;9.50;1368.00;-0.90;5579
2;naval_base;2998.00;9.50;1357.00;-0.79;5656
2;naval_base;3010.00;9.50;1347.00;0.54;1452
2;naval_base;3003.00;9.50;1352.00;-0.32;5656
2;naval_base;3020.00;9.50;1347.00;0.20;1452
2;bunker;3003.00;9.60;1354.00;3.96;0
2;bunker;3002.00;9.93;1363.00;1.80;0
2;bunker;3019.00;10.73;1353.00;3.00;0
2;bunker;3016.00;10.28;1351.00;0.84;0
2;bunker;2994.00;10.40;1370.00;2.40;0
2;bunker;3014.00;12.28;1360.00;5.07;0
2;bunker;3004.00;10.18;1366.00;1.45;0
2;coastal_bunker;3022.00;9.50;1347.00;0.20;0
2;coastal_bunker;2997.00;9.50;1357.00;-0.79;0
2;coastal_bunker;3008.00;9.50;1349.00;-0.93;0
2;coastal_bunker;3002.00;9.50;1353.00;-0.32;0
2;coastal_bunker;2989.00;9.50;1364.00;-0.90;0
2;dockyard;3015.00;9.50;1348.00;0.54;0
2;anti_air_building;3002.00;10.53;1372.00;1.96;0
2;anti_air_building;2999.00;9.57;1357.00;6.08;0
